
========== Fixed Pool ==========
VM ID	TYPE	Price($/year)	Total Allocation Time	Total Incurred Cost($/year)
Total cost for fixed pool in $ per year: 0.0

========== Floating Pool ==========
VM ID	TYPE	Price($/hour)	Total Allocation Time	Total Incurred Cost($)
527	ONDEMAND	0.07	3264	0.07
528	ONDEMAND	0.07	3264	0.07
529	ONDEMAND	0.07	3264	0.07
530	ONDEMAND	0.07	3264	0.07
531	ONDEMAND	0.07	3264	0.07
532	ONDEMAND	0.07	3264	0.07
535	ONDEMAND	0.07	3264	0.07
536	ONDEMAND	0.07	3264	0.07
537	ONDEMAND	0.07	3264	0.07
538	ONDEMAND	0.07	3264	0.07
539	ONDEMAND	0.07	3264	0.07
540	ONDEMAND	0.07	3264	0.07
541	ONDEMAND	0.07	3264	0.07
542	ONDEMAND	0.07	3264	0.07
543	ONDEMAND	0.07	3264	0.07
544	ONDEMAND	0.07	3264	0.07
545	ONDEMAND	0.07	3264	0.07
546	ONDEMAND	0.07	3264	0.07
547	ONDEMAND	0.07	3264	0.07
549	ONDEMAND	0.07	3264	0.07
550	ONDEMAND	0.07	3264	0.07
551	ONDEMAND	0.07	3264	0.07
552	ONDEMAND	0.07	3264	0.07
553	ONDEMAND	0.07	3264	0.07
554	ONDEMAND	0.07	3264	0.07
555	ONDEMAND	0.07	3264	0.07
556	ONDEMAND	0.07	3264	0.07
557	ONDEMAND	0.07	3264	0.07
558	ONDEMAND	0.07	3264	0.07
559	ONDEMAND	0.07	3264	0.07
560	ONDEMAND	0.07	3264	0.07
561	ONDEMAND	0.07	3264	0.07
562	ONDEMAND	0.07	3264	0.07
563	ONDEMAND	0.07	3264	0.07
564	ONDEMAND	0.07	3264	0.07
565	ONDEMAND	0.07	3264	0.07
566	ONDEMAND	0.07	3264	0.07
567	ONDEMAND	0.07	3264	0.07
568	ONDEMAND	0.07	3264	0.07
569	ONDEMAND	0.07	3264	0.07
570	ONDEMAND	0.07	3264	0.07
571	ONDEMAND	0.07	3264	0.07
572	ONDEMAND	0.07	3264	0.07
573	ONDEMAND	0.07	3264	0.07
574	ONDEMAND	0.07	3264	0.07
575	ONDEMAND	0.07	3264	0.07
576	ONDEMAND	0.07	3264	0.07
577	ONDEMAND	0.07	3264	0.07
578	ONDEMAND	0.07	3264	0.07
579	ONDEMAND	0.07	3264	0.07
580	ONDEMAND	0.07	3264	0.07
581	ONDEMAND	0.07	3264	0.07
582	ONDEMAND	0.07	3264	0.07
583	ONDEMAND	0.07	3264	0.07
584	ONDEMAND	0.07	3264	0.07
586	ONDEMAND	0.07	3264	0.07
587	ONDEMAND	0.07	3264	0.07
589	ONDEMAND	0.07	3264	0.07
590	ONDEMAND	0.07	3264	0.07
591	ONDEMAND	0.07	3264	0.07
592	ONDEMAND	0.07	3264	0.07
593	ONDEMAND	0.07	3264	0.07
594	ONDEMAND	0.07	3264	0.07
596	ONDEMAND	0.07	3264	0.07
597	ONDEMAND	0.07	3264	0.07
598	ONDEMAND	0.07	3264	0.07
600	ONDEMAND	0.07	3264	0.07
601	ONDEMAND	0.07	3264	0.07
602	ONDEMAND	0.07	3264	0.07
603	ONDEMAND	0.07	3264	0.07
604	ONDEMAND	0.07	3264	0.07
605	ONDEMAND	0.07	3264	0.07
606	ONDEMAND	0.07	3264	0.07
607	ONDEMAND	0.07	3264	0.07
609	ONDEMAND	0.07	3264	0.07
610	ONDEMAND	0.07	3264	0.07
611	ONDEMAND	0.07	3264	0.07
612	ONDEMAND	0.07	3264	0.07
613	ONDEMAND	0.07	3264	0.07
614	ONDEMAND	0.07	3264	0.07
615	ONDEMAND	0.07	3264	0.07
616	ONDEMAND	0.07	3264	0.07
