
========== OUTPUT ==========
TaskID	JobID	STATUS	DatacenterID	SlotID	Time	Start Time	Finish Time
511	38	REDUCE	SUCCESS	2	12875	20	2079	2099
499	37	REDUCE	SUCCESS	2	12878	20	2080	2100
500	37	REDUCE	SUCCESS	2	12879	20	2080	2100
501	37	REDUCE	SUCCESS	2	12882	20	2080	2100
502	37	REDUCE	SUCCESS	2	12883	20	2080	2100
503	37	REDUCE	SUCCESS	2	12886	20	2080	2100
504	37	REDUCE	SUCCESS	2	12887	20	2080	2100
533	42	MAP	SUCCESS	2	12800	96.78	2228	2324.78
534	42	REDUCE	SUCCESS	2	12890	19.22	2324.78	2344
535	42	REDUCE	SUCCESS	2	12891	19.22	2324.78	2344
536	42	REDUCE	SUCCESS	2	12894	19.22	2324.78	2344
537	42	REDUCE	SUCCESS	2	12895	19.22	2324.78	2344
538	42	REDUCE	SUCCESS	2	12898	19.22	2324.78	2344
539	42	REDUCE	SUCCESS	2	12899	19.22	2324.78	2344
540	43	MAP	SUCCESS	2	12817	97.78	2281	2378.78
183	17	MAP	SUCCESS	2	12840	94.22	2285.78	2380
139	17	MAP	SUCCESS	2	12845	94.22	2285.78	2380
123	17	MAP	SUCCESS	2	12860	94.22	2285.78	2380
153	17	MAP	SUCCESS	2	12893	94.22	2285.78	2380
182	17	MAP	SUCCESS	2	12905	94.22	2285.78	2380
155	17	MAP	SUCCESS	2	12909	94.22	2285.78	2380
120	17	MAP	SUCCESS	2	12929	94.22	2285.78	2380
186	17	MAP	SUCCESS	2	12932	94.22	2285.78	2380
210	17	MAP	SUCCESS	2	12988	94.22	2285.78	2380
219	17	MAP	SUCCESS	2	13005	94.22	2285.78	2380
227	17	MAP	SUCCESS	2	13021	94.22	2285.78	2380
246	17	MAP	SUCCESS	2	13060	94.22	2285.78	2380
250	17	MAP	SUCCESS	2	13068	94.22	2285.78	2380
263	17	MAP	SUCCESS	2	13093	94.22	2285.78	2380
157	17	MAP	SUCCESS	2	12825	95.22	2285.78	2381
132	17	MAP	SUCCESS	2	12872	95.22	2285.78	2381
169	17	MAP	SUCCESS	2	12888	95.22	2285.78	2381
196	17	MAP	SUCCESS	2	12960	95.22	2285.78	2381
224	17	MAP	SUCCESS	2	13016	95.22	2285.78	2381
255	17	MAP	SUCCESS	2	13077	95.22	2285.78	2381
259	17	MAP	SUCCESS	2	13085	95.22	2285.78	2381
269	17	MAP	SUCCESS	2	13105	95.22	2285.78	2381
137	17	MAP	SUCCESS	2	12812	96.22	2285.78	2382
163	17	MAP	SUCCESS	2	12813	96.22	2285.78	2382
144	17	MAP	SUCCESS	2	12816	96.22	2285.78	2382
178	17	MAP	SUCCESS	2	12861	96.22	2285.78	2382
174	17	MAP	SUCCESS	2	12876	96.22	2285.78	2382
142	17	MAP	SUCCESS	2	12921	96.22	2285.78	2382
181	17	MAP	SUCCESS	2	12924	96.22	2285.78	2382
188	17	MAP	SUCCESS	2	12944	96.22	2285.78	2382
162	17	MAP	SUCCESS	2	12949	96.22	2285.78	2382
193	17	MAP	SUCCESS	2	12953	96.22	2285.78	2382
195	17	MAP	SUCCESS	2	12957	96.22	2285.78	2382
206	17	MAP	SUCCESS	2	12980	96.22	2285.78	2382
217	17	MAP	SUCCESS	2	13001	96.22	2285.78	2382
222	17	MAP	SUCCESS	2	13012	96.22	2285.78	2382
231	17	MAP	SUCCESS	2	13029	96.22	2285.78	2382
234	17	MAP	SUCCESS	2	13036	96.22	2285.78	2382
242	17	MAP	SUCCESS	2	13052	96.22	2285.78	2382
249	17	MAP	SUCCESS	2	13065	96.22	2285.78	2382
136	17	MAP	SUCCESS	2	12804	97.22	2285.78	2383
121	17	MAP	SUCCESS	2	12848	97.22	2285.78	2383
140	17	MAP	SUCCESS	2	12852	97.22	2285.78	2383
166	17	MAP	SUCCESS	2	12864	97.22	2285.78	2383
125	17	MAP	SUCCESS	2	12892	97.22	2285.78	2383
126	17	MAP	SUCCESS	2	12900	97.22	2285.78	2383
156	17	MAP	SUCCESS	2	12933	97.22	2285.78	2383
128	17	MAP	SUCCESS	2	12936	97.22	2285.78	2383
161	17	MAP	SUCCESS	2	12948	97.22	2285.78	2383
202	17	MAP	SUCCESS	2	12972	97.22	2285.78	2383
204	17	MAP	SUCCESS	2	12976	97.22	2285.78	2383
211	17	MAP	SUCCESS	2	12989	97.22	2285.78	2383
212	17	MAP	SUCCESS	2	12992	97.22	2285.78	2383
218	17	MAP	SUCCESS	2	13004	97.22	2285.78	2383
220	17	MAP	SUCCESS	2	13008	97.22	2285.78	2383
225	17	MAP	SUCCESS	2	13017	97.22	2285.78	2383
239	17	MAP	SUCCESS	2	13045	97.22	2285.78	2383
243	17	MAP	SUCCESS	2	13053	97.22	2285.78	2383
248	17	MAP	SUCCESS	2	13064	97.22	2285.78	2383
173	17	MAP	SUCCESS	2	12828	98.22	2285.78	2384
141	17	MAP	SUCCESS	2	12885	98.22	2285.78	2384
184	17	MAP	SUCCESS	2	12904	98.22	2285.78	2384
197	17	MAP	SUCCESS	2	12961	98.22	2285.78	2384
229	17	MAP	SUCCESS	2	13025	98.22	2285.78	2384
247	17	MAP	SUCCESS	2	13061	98.22	2285.78	2384
254	17	MAP	SUCCESS	2	13076	98.22	2285.78	2384
267	17	MAP	SUCCESS	2	13101	98.22	2285.78	2384
541	43	MAP	SUCCESS	2	12856	103.78	2281	2384.78
147	17	MAP	SUCCESS	2	12837	99.22	2285.78	2385
187	17	MAP	SUCCESS	2	12889	99.22	2285.78	2385
